technology,airbending,source,DataManager@27.03.2019 13:31:40
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
QStE380TM,6,4,40,150,-2.02,0,17.7
QStE380TM,6,4,40,152.3,-1.84,0,19.8
QStE380TM,6,4,40,155.3,-1.61,0,22.1
QStE380TM,6,4,40,158.2,-1.39,0,25.9
QStE380TM,6,4,40,161.2,-1.17,0,29.6
QStE380TM,6,4,40,164.2,-0.97,0,43.9
QStE380TM,6,4,40,167.1,-0.78,0,59.9
QStE380TM,6,4,40,170,-0.59,0,74.9
QStE380TM,6,4,40,172.8,-0.42,0,127.3
QStE380TM,6,4,40,175.7,-0.25,0,179.6
QStE380TM,6,4,40,178.4,-0.09,0,232
QStE380TM,6,4,41.5,87.9,-10.95,-9.87,5.9
QStE380TM,6,4,41.5,90,-10.49,-10.49,6.1
QStE380TM,6,4,41.5,90.2,-10.44,0,6.1
QStE380TM,6,4,41.5,92.2,-10,0,6.2
QStE380TM,6,4,41.5,94.3,-9.51,0,6.4
QStE380TM,6,4,41.5,96.7,-9,0,6.5
QStE380TM,6,4,41.5,99,-8.51,0,6.6
QStE380TM,6,4,41.5,101.4,-8.05,0,6.9
QStE380TM,6,4,41.5,104.1,-7.54,0,7.1
QStE380TM,6,4,41.5,105,-7.38,0,7.2
QStE380TM,6,4,41.5,106.5,-7.11,0,7.6
QStE380TM,6,4,41.5,109,-6.7,0,7.7
QStE380TM,6,4,41.5,111.9,-6.24,0,8
QStE380TM,6,4,41.5,114.5,-5.86,0,8.3
QStE380TM,6,4,41.5,117.2,-5.49,0,8.4
QStE380TM,6,4,41.5,119.9,-5.12,0,8.9
QStE380TM,6,4,41.5,120,-5.11,0,9
QStE380TM,6,4,41.5,122.7,-4.77,0,9.3
QStE380TM,6,4,41.5,125.5,-4.42,0,9.6
QStE380TM,6,4,41.5,128.4,-4.09,0,10.5
QStE380TM,6,4,41.5,131.3,-3.78,0,11
