technology,airbending,source,DataManager@27.03.2019 13:31:39
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
AlMg3,0.5,0.2,6.4,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.2,6.4,60,-2.962,-0.378,0.8
AlMg3,0.5,0.2,6.4,66,-2.471,-0.505,0.9
AlMg3,0.5,0.2,6.4,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.2,6.4,75,-1.888,-0.711,0.9
AlMg3,0.5,0.2,6.4,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.2,6.4,90,-1.282,-1.282,1
AlMg3,0.5,0.2,6.4,95.5,-1.088,0,1
AlMg3,0.5,0.2,6.4,105,-0.857,0,1.1
AlMg3,0.5,0.2,6.4,106.1,-0.823,0,1.1
AlMg3,0.5,0.2,6.4,119.7,-0.565,0,1.4
AlMg3,0.5,0.2,6.4,120,-0.536,0,1.4
AlMg3,0.5,0.2,6.4,132,-0.384,0,1.7
AlMg3,0.5,0.2,6.4,135,-0.334,0,1.7
AlMg3,0.5,0.2,6.4,147.1,-0.221,0,2.5
AlMg3,0.5,0.2,6.4,150,-0.232,0,3.1
AlMg3,0.5,0.2,6.4,163.5,-0.093,0,5.6
AlMg3,0.5,0.3,6,30,-9.468,0.256,0.8
AlMg3,0.5,0.3,6,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.3,6,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.3,6,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.3,6,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.3,6,45,-5.128,-0.06,0.8
AlMg3,0.5,0.3,6,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.3,6,51.7,-3.967,-0.204,0.8
AlMg3,0.5,0.3,6,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.3,6,60,-2.962,-0.378,0.8
AlMg3,0.5,0.3,6,66,-2.471,-0.505,0.9
AlMg3,0.5,0.3,6,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.3,6,75,-1.888,-0.711,0.9
AlMg3,0.5,0.3,6,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.3,6,90,-1.282,-1.282,1
AlMg3,0.5,0.3,6,95.5,-1.088,0,1
AlMg3,0.5,0.3,6,105,-0.857,0,1.1
AlMg3,0.5,0.3,6,106.1,-0.823,0,1.1
AlMg3,0.5,0.3,6,119.7,-0.565,0,1.4
AlMg3,0.5,0.3,6,120,-0.536,0,1.4
AlMg3,0.5,0.3,6,132,-0.384,0,1.7
AlMg3,0.5,0.3,6,135,-0.334,0,1.7
AlMg3,0.5,0.3,6,147.1,-0.221,0,2.5
AlMg3,0.5,0.3,6,150,-0.232,0,3.1
AlMg3,0.5,0.3,6,163.5,-0.093,0,5.6
AlMg3,0.5,0.3,6.4,30,-9.468,0.256,0.8
AlMg3,0.5,0.3,6.4,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.3,6.4,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.3,6.4,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.3,6.4,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.3,6.4,45,-5.128,-0.06,0.8
AlMg3,0.5,0.3,6.4,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.3,6.4,51.7,-3.967,-0.204,0.8
AlMg3,0.5,0.3,6.4,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.3,6.4,60,-2.962,-0.378,0.8
AlMg3,0.5,0.3,6.4,66,-2.471,-0.505,0.9
AlMg3,0.5,0.3,6.4,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.3,6.4,75,-1.888,-0.711,0.9
AlMg3,0.5,0.3,6.4,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.3,6.4,90,-1.282,-1.282,1
AlMg3,0.5,0.3,6.4,95.5,-1.088,0,1
AlMg3,0.5,0.3,6.4,105,-0.857,0,1.1
AlMg3,0.5,0.3,6.4,106.1,-0.823,0,1.1
AlMg3,0.5,0.3,6.4,119.7,-0.565,0,1.4
AlMg3,0.5,0.3,6.4,120,-0.536,0,1.4
AlMg3,0.5,0.3,6.4,132,-0.384,0,1.7
AlMg3,0.5,0.3,6.4,135,-0.334,0,1.7
AlMg3,0.5,0.3,6.4,147.1,-0.221,0,2.5
AlMg3,0.5,0.3,6.4,150,-0.232,0,3.1
AlMg3,0.5,0.3,6.4,163.5,-0.093,0,5.6
AlMg3,0.5,0.5,6,30,-9.468,0.256,0.8
AlMg3,0.5,0.5,6,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.5,6,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.5,6,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.5,6,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.5,6,45,-5.128,-0.06,0.8
AlMg3,0.5,0.5,6,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.5,6,51.7,-3.967,-0.204,0.8
AlMg3,0.5,0.5,6,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.5,6,60,-2.962,-0.378,0.8
AlMg3,0.5,0.5,6,66,-2.471,-0.505,0.9
AlMg3,0.5,0.5,6,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.5,6,75,-1.888,-0.711,0.9
AlMg3,0.5,0.5,6,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.5,6,90,-1.282,-1.282,1
AlMg3,0.5,0.5,6,95.5,-1.088,0,1
AlMg3,0.5,0.5,6,105,-0.857,0,1.1
AlMg3,0.5,0.5,6,106.1,-0.823,0,1.1
AlMg3,0.5,0.5,6,119.7,-0.565,0,1.4
AlMg3,0.5,0.5,6,120,-0.536,0,1.4
AlMg3,0.5,0.5,6,132,-0.384,0,1.7
AlMg3,0.5,0.5,6,135,-0.334,0,1.7
AlMg3,0.5,0.5,6,147.1,-0.221,0,2.5
AlMg3,0.5,0.5,6,150,-0.232,0,3.1
AlMg3,0.5,0.5,6,163.5,-0.093,0,5.6
AlMg3,0.5,0.5,6.4,30,-9.468,0.256,0.8
AlMg3,0.5,0.5,6.4,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.5,6.4,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.5,6.4,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.5,6.4,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.5,6.4,45,-5.128,-0.06,0.8
AlMg3,0.5,0.5,6.4,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.5,6.4,51.7,-3.967,-0.204,0.8
AlMg3,0.5,0.5,6.4,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.5,6.4,60,-2.962,-0.378,0.8
AlMg3,0.5,0.5,6.4,66,-2.471,-0.505,0.9
AlMg3,0.5,0.5,6.4,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.5,6.4,75,-1.888,-0.711,0.9
AlMg3,0.5,0.5,6.4,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.5,6.4,90,-1.282,-1.282,1
AlMg3,0.5,0.5,6.4,95.5,-1.088,0,1
AlMg3,0.5,0.5,6.4,105,-0.857,0,1.1
AlMg3,0.5,0.5,6.4,106.1,-0.823,0,1.1
AlMg3,0.5,0.5,6.4,119.7,-0.565,0,1.4
AlMg3,0.5,0.5,6.4,120,-0.536,0,1.4
AlMg3,0.5,0.5,6.4,132,-0.384,0,1.7
AlMg3,0.5,0.5,6.4,135,-0.334,0,1.7
