technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,0.2,6.4,60,-2.887,-0.379,0.8
St37,0.5,0.2,6.4,67.45,-2.297,-0.529,0.8
St37,0.5,0.2,6.4,74.97,-1.868,-0.697,0.8
St37,0.5,0.2,6.4,75,-1.845,-0.698,0.8
St37,0.5,0.2,6.4,84.86,-1.422,-0.994,0.9
St37,0.5,0.2,6.4,90,-1.26,-1.26,0.9
St37,0.5,0.2,6.4,94.39,-1.108,0,1
St37,0.5,0.2,6.4,105,-0.849,0,1.1
St37,0.5,0.2,6.4,105.02,-0.829,0,1.1
St37,0.5,0.2,6.4,120,-0.533,0,1.4
St37,0.5,0.2,6.4,120.46,-0.547,0,1.4
St37,0.5,0.2,6.4,132.79,-0.369,0,1.8
St37,0.5,0.2,6.4,135,-0.328,0,1.8
St37,0.5,0.2,6.4,147.88,-0.21,0,2.7
St37,0.5,0.2,6.4,150,-0.221,0,3
St37,0.5,0.2,6.4,164.33,-0.085,0,5.5
St37,0.5,0.3,6,30,-9.182,0.219,0.7
St37,0.5,0.3,6,32.22,-8.363,0.181,0.7
St37,0.5,0.3,6,34.8,-7.54,0.134,0.8
St37,0.5,0.3,6,37.61,-6.737,0.079,0.8
St37,0.5,0.3,6,42.12,-5.566,-0.018,0.8
St37,0.5,0.3,6,45,-4.987,-0.077,0.8
St37,0.5,0.3,6,47.15,-4.56,-0.122,0.8
St37,0.5,0.3,6,52.94,-3.688,-0.238,0.8
St37,0.5,0.3,6,59.6,-2.942,-0.37,0.8
St37,0.5,0.3,6,60,-2.887,-0.379,0.8
St37,0.5,0.3,6,67.45,-2.297,-0.529,0.8
St37,0.5,0.3,6,74.97,-1.868,-0.697,0.8
St37,0.5,0.3,6,75,-1.845,-0.698,0.8
St37,0.5,0.3,6,84.86,-1.422,-0.994,0.9
St37,0.5,0.3,6,90,-1.26,-1.26,0.9
St37,0.5,0.3,6,94.39,-1.108,0,1
St37,0.5,0.3,6,105,-0.849,0,1.1
St37,0.5,0.3,6,105.02,-0.829,0,1.1
St37,0.5,0.3,6,120,-0.533,0,1.4
St37,0.5,0.3,6,120.46,-0.547,0,1.4
St37,0.5,0.3,6,132.79,-0.369,0,1.8
St37,0.5,0.3,6,135,-0.328,0,1.8
St37,0.5,0.3,6,147.88,-0.21,0,2.7
St37,0.5,0.3,6,150,-0.221,0,3
St37,0.5,0.3,6,164.33,-0.085,0,5.5
St37,0.5,0.3,6.4,30,-9.182,0.219,0.7
St37,0.5,0.3,6.4,32.22,-8.363,0.181,0.7
St37,0.5,0.3,6.4,34.8,-7.54,0.134,0.8
St37,0.5,0.3,6.4,37.61,-6.737,0.079,0.8
St37,0.5,0.3,6.4,42.12,-5.566,-0.018,0.8
St37,0.5,0.3,6.4,45,-4.987,-0.077,0.8
St37,0.5,0.3,6.4,47.15,-4.56,-0.122,0.8
St37,0.5,0.3,6.4,52.94,-3.688,-0.238,0.8
St37,0.5,0.3,6.4,59.6,-2.942,-0.37,0.8
St37,0.5,0.3,6.4,60,-2.887,-0.379,0.8
St37,0.5,0.3,6.4,67.45,-2.297,-0.529,0.8
St37,0.5,0.3,6.4,74.97,-1.868,-0.697,0.8
St37,0.5,0.3,6.4,75,-1.845,-0.698,0.8
St37,0.5,0.3,6.4,84.86,-1.422,-0.994,0.9
St37,0.5,0.3,6.4,90,-1.26,-1.26,0.9
St37,0.5,0.3,6.4,94.39,-1.108,0,1
St37,0.5,0.3,6.4,105,-0.849,0,1.1
St37,0.5,0.3,6.4,105.02,-0.829,0,1.1
St37,0.5,0.3,6.4,120,-0.533,0,1.4
St37,0.5,0.3,6.4,120.46,-0.547,0,1.4
St37,0.5,0.3,6.4,132.79,-0.369,0,1.8
St37,0.5,0.3,6.4,135,-0.328,0,1.8
St37,0.5,0.3,6.4,147.88,-0.21,0,2.7
St37,0.5,0.3,6.4,150,-0.221,0,3
St37,0.5,0.3,6.4,164.33,-0.085,0,5.5
St37,0.5,0.5,6,30,-9.182,0.219,0.7
St37,0.5,0.5,6,32.22,-8.363,0.181,0.7
